year,month,borough,number_of_violations,min_violations,max_violations
2014,1,Staten Island,534.0,28.0,275.0
2014,2,Staten Island,440.0,56.0,197.0
2014,3,Staten Island,519.0,65.0,226.0
2014,4,Staten Island,437.0,68.0,164.0
2014,5,Staten Island,732.0,133.0,241.0
2014,6,Staten Island,616.0,84.0,290.0
2014,7,Staten Island,587.0,117.0,194.0
2014,8,Staten Island,504.0,86.0,187.0
2014,9,Staten Island,387.0,31.0,136.0
2014,10,Staten Island,375.0,84.0,113.0
2014,11,Staten Island,560.0,124.0,180.0
2014,12,Staten Island,214.0,20.0,137.0
2015,1,Staten Island,296.0,30.0,114.0
2015,2,Staten Island,442.0,54.0,168.0
2015,3,Staten Island,451.0,75.0,162.0
2015,4,Staten Island,587.0,81.0,232.0
2015,5,Staten Island,496.0,49.0,190.0
2015,6,Staten Island,541.0,71.0,206.0
2015,7,Staten Island,759.0,112.0,324.0
2015,8,Staten Island,747.0,106.0,267.0
2015,9,Staten Island,548.0,74.0,204.0
2015,10,Staten Island,903.0,109.0,334.0
2015,11,Staten Island,900.0,129.0,307.0
2015,12,Staten Island,563.0,63.0,250.0
2016,1,Staten Island,521.0,89.0,207.0
2016,2,Staten Island,485.0,92.0,147.0
2016,3,Staten Island,461.0,82.0,170.0
2016,4,Staten Island,476.0,99.0,138.0
2016,5,Staten Island,587.0,51.0,218.0
2016,6,Staten Island,401.0,77.0,155.0
2016,7,Staten Island,649.0,56.0,280.0
2016,8,Staten Island,669.0,66.0,280.0
2016,9,Staten Island,618.0,93.0,269.0
2016,10,Staten Island,738.0,137.0,240.0
