year,month,borough,collision_count,min_collision_count,max_collision_count,injured_count,min_injured_count,max_injured_count,killed_count,min_killed_count,max_killed_count
2016,1,Queens,4460,1,1,874,0,5,1,0,1
2016,2,Queens,3870,1,1,914,0,7,3,0,1
2016,3,Queens,3739,1,1,1061,0,9,1,0,1
2016,4,Queens,3303,1,1,1023,0,6,5,0,1
2016,5,Queens,3425,1,1,1109,0,11,2,0,1
2016,6,Queens,3093,1,1,1007,0,19,6,0,2
2016,7,Queens,2703,1,1,926,0,10,4,0,1
2016,8,Queens,2665,1,1,873,0,7,3,0,1
2016,9,Queens,2732,1,1,936,0,7,4,0,1
2016,10,Queens,2866,1,1,873,0,7,2,0,1
2012,1,Staten Island,795,1,10,184,0,6,1,0,1
2012,2,Staten Island,722,1,7,184,0,6,1,0,1
2012,3,Staten Island,827,1,8,171,0,5,1,0,1
2012,4,Staten Island,817,1,8,225,0,5,1,0,1
2012,5,Staten Island,939,1,8,238,0,6,0,0,0
2012,6,Staten Island,859,1,9,244,0,7,1,0,1
2012,7,Staten Island,747,1,7,170,0,5,1,0,1
2012,8,Staten Island,815,1,8,187,0,7,2,0,2
2012,9,Staten Island,799,1,7,199,0,10,0,0,0
2012,10,Staten Island,863,1,9,225,0,6,2,0,1
2012,11,Staten Island,814,1,8,204,0,5,2,0,1
2012,12,Staten Island,877,1,11,231,0,16,3,0,1
2013,1,Staten Island,800,1,6,183,0,5,0,0,0
2013,2,Staten Island,734,1,7,146,0,6,1,0,1
2013,3,Staten Island,843,1,7,196,0,8,1,0,1
2013,4,Staten Island,774,1,9,219,0,8,0,0,0
2013,5,Staten Island,935,1,14,204,0,5,0,0,0
2013,6,Staten Island,917,1,13,231,0,10,1,0,1
2013,7,Staten Island,739,1,8,227,0,6,0,0,0
2013,8,Staten Island,767,1,7,189,0,4,1,0,1
2013,9,Staten Island,814,1,10,198,0,6,0,0,0
2013,10,Staten Island,866,1,8,224,0,8,1,0,1
2013,11,Staten Island,875,1,9,221,0,6,0,0,0
2013,12,Staten Island,936,1,9,183,0,7,3,0,1
2014,1,Staten Island,865,1,6,176,0,5,3,0,1
2014,2,Staten Island,863,1,5,143,0,6,0,0,0
2014,3,Staten Island,747,1,1,165,0,3,0,0,0
2014,4,Staten Island,710,1,1,194,0,10,1,0,1
2014,5,Staten Island,798,1,1,214,0,11,1,0,1
2014,6,Staten Island,859,1,1,207,0,5,2,0,1
2014,7,Staten Island,753,1,1,188,0,6,2,0,1
2014,8,Staten Island,760,1,1,207,0,7,0,0,0
2014,9,Staten Island,814,1,1,215,0,3,0,0,0
2014,10,Staten Island,815,1,1,215,0,3,0,0,0
2014,11,Staten Island,763,1,1,216,0,8,1,0,1
2014,12,Staten Island,763,1,1,187,0,5,1,0,1
2015,1,Staten Island,787,1,1,180,0,6,0,0,0
2015,2,Staten Island,728,1,1,197,0,22,1,0,1
2015,3,Staten Island,790,1,1,180,0,10,1,0,1
2015,4,Staten Island,675,1,1,179,0,5,1,0,1
2015,5,Staten Island,900,1,1,236,0,7,2,0,1
2015,6,Staten Island,764,1,1,185,0,9,1,0,1
2015,7,Staten Island,750,1,1,218,0,6,2,0,1
2015,8,Staten Island,726,1,1,216,0,8,2,0,1
2015,9,Staten Island,751,1,1,197,0,5,2,0,1
2015,10,Staten Island,763,1,1,179,0,4,3,0,2
2015,11,Staten Island,761,1,1,178,0,7,1,0,1
2015,12,Staten Island,842,1,1,211,0,6,1,0,1
2016,1,Staten Island,811,1,1,125,0,6,2,0,1
2016,2,Staten Island,751,1,1,141,0,4,1,0,1
2016,3,Staten Island,702,1,1,145,0,5,1,0,1
2016,4,Staten Island,601,1,1,176,0,5,1,0,1
2016,5,Staten Island,696,1,1,219,0,5,2,0,1
2016,6,Staten Island,641,1,1,216,0,9,3,0,3
2016,7,Staten Island,590,1,1,151,0,8,0,0,0
2016,8,Staten Island,457,1,1,130,0,4,1,0,1
2016,9,Staten Island,490,1,1,175,0,6,1,0,1
2016,10,Staten Island,555,1,1,154,0,5,1,0,1
